order_id,order_date,customer_id,customer_segment,store_id,product_id,product_name,category,quantity,unit_price,discount,gross_sales,discount_amount,revenue,cost,profit,payment_method
ORD000001,2025-08-24,CUST02065,Regular,ST006,PROD0007,Power Bank,Electronics,2,15422.89,0.15,30845.78,4626.866999999999,26218.913,21379.22,4839.692999999999,Credit Card
ORD000002,2025-12-17,CUST01407,Regular,ST004,PROD0010,Mixer Grinder,Home & Kitchen,1,12514.95,0.0,12514.95,0.0,12514.95,10083.21,2431.7400000000016,Credit Card
ORD000003,2025-03-20,CUST02416,Occasional,ST002,PROD0039,Gym Gloves,Sports,1,1095.35,0.2,1095.35,219.07,876.28,629.35,246.92999999999995,Debit Card
ORD000004,2025-03-13,CUST01340,Regular,ST001,PROD0020,Hoodie,Clothing,4,1024.62,0.15,4098.48,614.7719999999999,3483.7079999999996,1894.84,1588.8679999999997,UPI
ORD000005,2025-08-28,CUST01521,Regular,ST004,PROD0028,Perfume,Beauty,1,2919.71,0.15,2919.71,437.9565,2481.7535,1076.74,1405.0134999999998,Debit Card
ORD000006,2025-04-01,CUST01577,Premium,ST001,PROD0014,Bedsheet Set,Home & Kitchen,2,4532.8,0.05,9065.6,453.28000000000003,8612.32,6565.62,2046.6999999999998,Net Banking
ORD000007,2025-09-06,CUST00908,Premium,ST002,PROD0012,Coffee Maker,Home & Kitchen,2,11103.41,0.0,22206.82,0.0,22206.82,18839.24,3367.579999999998,Debit Card
ORD000008,2025-11-28,CUST00115,Premium,ST003,PROD0008,Wireless Mouse,Electronics,2,27894.92,0.15,55789.84,8368.475999999999,47421.364,38407.44,9013.923999999999,Credit Card
ORD000009,2025-11-26,CUST02148,Regular,ST004,PROD0007,Power Bank,Electronics,5,15422.89,0.25,77114.45,19278.6125,57835.837499999994,45401.64,12434.197499999995,UPI
ORD000010,2025-05-09,CUST02486,Regular,ST002,PROD0005,Smart Watch,Electronics,1,22313.35,0.2,22313.35,4462.67,17850.68,16303.99,1546.6900000000005,Net Banking
ORD000011,2025-11-04,CUST01369,Regular,ST001,PROD0001,Wireless Headphones,Electronics,3,71728.58,0.15,215185.74,32277.860999999997,182907.879,147555.76,35352.11899999998,UPI
ORD000012,2024-09-03,CUST02397,Occasional,ST008,PROD0047,Breakfast Cereal,Grocery,2,1377.5,0.1,2755.0,275.5,2479.5,2067.21,412.28999999999996,Credit Card
ORD000013,2025-06-26,CUST00139,Regular,ST001,PROD0009,Air Fryer,Home & Kitchen,5,6620.38,0.0,33101.9,0.0,33101.9,26162.93,6938.970000000001,Credit Card
ORD000014,2025-07-17,CUST00828,Regular,ST003,PROD0044,Tea,Grocery,4,1873.28,0.2,7493.12,1498.624,5994.496,5058.82,935.6760000000004,UPI
ORD000015,2025-08-10,CUST02372,Regular,ST003,PROD0018,Women's T-Shirt,Clothing,1,2452.3,0.0,2452.3,0.0,2452.3,1619.25,833.0500000000002,Debit Card
ORD000016,2025-03-14,CUST00846,Regular,ST007,PROD0043,Cooking Oil,Grocery,1,1527.63,0.05,1527.63,76.3815,1451.2485000000001,1209.74,241.50850000000014,UPI
ORD000017,2024-10-04,CUST02342,Occasional,ST003,PROD0042,Wheat Flour 5kg,Grocery,3,261.36,0.15,784.08,117.612,666.4680000000001,566.67,99.79800000000012,Credit Card
